field concept,Total:,White alone,Black or African American alone,Hispanic or Latino,"Asian, Native Hawaiian and Pacific Islander alone, all ages","Other Races or Multiple Races,  all ages",Occupied,Vacant
Allston,28621,14634,1451,3657,7173,1706,11740,787
Back Bay,19588,14056,718,1326,2604,884,10788,1585
Beacon Hill,9336,7521,252,537,630,396,5485,552
Brighton,48330,30596,2289,4978,7801,2666,20822,1052
Charlestown,19120,13626,990,2075,1650,779,8932,593
Chinatown,7143,1898,297,477,4281,190,3299,345
Dorchester,122191,27411,42714,25285,13360,13421,44823,3142
Downtown,13451,9174,537,961,2286,493,5401,1253
East Boston,43066,15760,1403,21700,1932,2271,16695,1321
Fenway,37733,20456,2396,3643,9218,2020,12661,1307
Hyde Park,33009,7449,15171,7901,677,1811,12066,547
Jamaica Plain,41012,22032,4686,8921,2985,2388,17724,1167
Longwood,4096,2573,334,381,657,151,425,31
Mattapan,23834,1489,16277,4079,490,1499,8821,525
Mission Hill,17886,6950,2469,3397,4228,842,6820,319
North End,10805,9306,141,528,445,385,6314,518
Roslindale,29386,13428,6045,7373,1018,1522,11534,580
Roxbury,54905,7182,22796,16728,3277,4922,20345,1689
South Boston,37917,29139,1529,3887,2077,1285,17961,1179
South Boston Waterfront,5579,4315,160,316,482,306,3624,998
South End,29373,16618,2959,3783,4677,1336,15253,1366
West End,7705,4933,338,613,1440,381,4572,671
West Roxbury,31561,20918,3312,3567,2451,1313,13390,680
Harbor Islands,340,85,88,146,3,18,0,0
